,content,id,count,emo
75,114514,76648001278.70871,6,3
380,Sakura,156513022266.08044,12,3
477,byd,86803878672.84233,7,3
569,b男孩,71469149267.03261,6,5
590,ctrl,72775471061.89725,6,3
610,doinb,104263747866.37296,8,3
621,duai,286162054716.1031,22,3
672,hhhhh,91342217612.10132,7,3
702,itai集合,80706009008.9216,7,3
721,kksk,91234325897.47163,7,3
813,sakura,182542134479.2539,14,3
857,tequila,104200391875.33493,8,3
927,xswl,78784015527.8594,7,3
941,yue,117463571037.87505,9,3
974,たいくら,404231240065.84204,31,3
1108,一模一样,143390896919.8425,11,2
1182,一超多强,273971968006.02322,21,2
1189,一边去,247902838128.7945,19,3
1194,一进来就没绷住,78284443456.11603,6,1
1379,不像假的,104540500637.19127,8,2
1385,不像演的,130697208220.98322,10,2
1410,不同的物种,104620979487.00415,8,3
1446,不如坤坤,323375472602.1455,26,2
1470,不如蔡徐坤,75445517107.12479,6,4
1477,不如鸡哥,337178528142.271,28,3
1610,不然呢,169846686719.90475,13,3
1735,专业对口,196123274899.8535,15,3
1792,两眼一黑,729737777525.2374,56,2
1884,中门对狙,117522968513.66673,9,2
2024,主角登场,91251956486.14938,7,4
2088,事故多发地,73956277650.12979,6,2
2187,亡灵凯,578444756424.8708,46,2
2201,交流病情,72349392815.54733,6,5
2222,人才,117314872907.83536,9,3
2232,人生导师,78253669631.65964,6,5
2245,人间油物,91445381951.7888,7,4
2256,什么b动静,150602034787.85513,12,2
2327,什么地狱绘图,78361519111.41342,6,2
2340,什么妖魔鬼怪,155064486704.27637,12,5
2397,什么玩意,244297704703.20078,19,0
2399,什么玩意儿,104431261346.27612,8,2
2446,什么鬼,324741191579.5582,26,3
2448,什么鬼东西,91445404974.23755,7,3
2555,他们都不想看我活,96265472996.14366,11,3
2593,他听不懂,104650983713.79935,8,2
2625,他在干嘛,219894070117.48868,17,1
2641,他在说什么,326193279424.704,25,2
2731,他急了,92505650572.0126,9,2
2732,他急了他急了,15621980438.097612,6,1
2799,他是谁,104274329346.77263,8,3
3014,众神归位,117316136851.27972,9,2
3025,会员制演唱会,78264756530.97472,6,2
3034,伞兵,3013941228.0298705,6,3
3090,住医院,209098073414.13275,16,2
3198,你倒是说,78076556737.53308,6,1
3225,你到底在说什么,76637665237.07622,6,2
3234,你厉害我给你大拇哥,130877861020.52701,10,2
3280,你在说什么,248243981077.49298,19,2
3355,你币有了,143516895238.56238,11,3
3358,你干嘛,217948719969.24063,17,1
3365,你干嘛哎呦,86145769090.40326,7,0
3366,你干嘛哎哟,75989907190.51442,6,1
3386,你干嘛这么缉毒我,86674784024.8438,11,0
3402,你惊扰了witch,91587936362.72725,7,4
3422,你搁这搁这呢,78127487400.00507,6,0
3465,你是谁,47927834611.602936,6,3
3707,信念感,104407967122.64938,8,5
3750,假的,104367369480.82663,8,3
3757,做1,104058439187.22414,8,2
3782,做阴乐,117187055952.72415,9,3
3801,傲慢的演奏家,272318516012.6971,21,0
3822,傻子国,130599098636.53316,10,2
3957,全体起立,2752672738011.8286,211,1
3979,全文背诵,221263120978.90115,26,5
4031,公公嗦了蒜,89082683425.3469,9,2
4120,再来一遍,104176961860.87311,8,3
4121,再来亿遍,141965983909.87677,11,3
4137,冠希哥,104008687881.83658,8,2
4206,凛冬将至,91104839305.37628,7,4
4231,出来了,78450780776.42699,6,3
4370,别太离谱,78271555750.42865,6,0
4409,别死我手机里,90835088341.07477,7,2
4429,别说了,130044910540.71268,10,2
4469,到底怎么说,117205895631.99632,9,2
4499,刷怪笼,359690722841.0496,30,4
4518,前摇过长,117332347709.65396,9,3
4722,华晨宇罪不至此,78272888149.0941,6,1
4815,卧槽,372694355610.22284,29,3
4869,卧龙凤雏,91300089767.63513,7,2
4890,厉不厉害你坤哥,143550920650.30228,11,1
4932,原声大碟,222413516830.45853,18,3
4973,原神怎么你了,91323827129.79742,7,3
5040,双厨狂喜,391408765274.5019,30,4
5122,变声期,78294886077.53477,6,3
5236,可以,91147913151.62541,7,3
5384,各显神通,104347943659.98943,8,3
5498,吐了,179569461681.55743,14,1
5500,吓人,104227335970.49155,8,0
5510,吓我一跳我释放忍术,169090484048.6203,13,2
5519,吓死我了,91211996546.13054,7,1
5557,听懂掌声,169352695048.18597,13,2
5575,吸了,116247758199.91667,9,2
5587,吸多了,77620550119.96812,6,2
5615,吹牛逼嘞,91490726376.62811,7,2
5702,咕噜咕噜,70207164281.32251,6,3
5734,咱们就是说,117272376064.34982,9,2
5770,咱就是说,234233678455.6519,18,3
5819,哇真的是你,153669121985.3397,12,3
5821,哇真的是你呀,230841195570.18085,18,3
5966,唯一真神,495270847604.5803,38,2
5989,唱跳rap篮球,93584966058.53647,8,4
6019,啥玩意,226776422323.86234,18,0
6234,四大菜籽,78300547908.1088,6,3
6326,图穷匕见,91293226791.1563,7,2
6397,在这么冷的天,91497425397.33975,7,1
6432,地狱绘卷,143493495271.6656,11,3
6433,地狱绘图,874550962579.8273,67,2
6444,地铁老人手机,66150341812.14815,7,4
6606,坤流才是最吊的,104400336906.22021,8,1
6620,垃圾,91127481181.77946,7,0
6676,多动症,185346502462.88507,16,4
6726,大便开吃,78413395581.89676,6,2
6795,大张伟,234632201145.12265,18,0
6801,大拇哥,222303567975.0132,17,3
7017,太尬了,76611120679.58263,6,3
7037,太库拉,143469439824.7914,11,2
7059,太抽象了,271215070585.86765,21,3
7133,太离谱了,102863717058.38895,8,0
7165,太苦啦,169553390590.37875,13,3
7171,太苦辣,91252508573.99066,7,3
7173,太草了,153478268775.02023,12,3
7184,太裤辣,234435141499.1961,18,3
7192,太逆天了,117490001132.81056,9,0
7198,太酷了,496024135426.15796,38,3
7199,太酷啦,1810727028200.036,139,3
7210,太酷辣,260228953817.7416,20,3
7262,奖励,182743984517.54077,14,3
7275,奖励哥,676756805583.5262,52,4
7291,奖励小子,313193995451.45807,24,5
7308,奖励自己,221998452832.24725,17,3
7377,好丑,207083915512.79327,16,2
7384,好中二,104570256739.61928,8,3
7466,好吓人,90995588561.58368,7,1
7470,好听,193271389287.8315,15,2
7490,好嘴,69315335709.06505,6,4
7502,好好听,76802321084.81245,6,2
7520,好家伙,183790283971.88632,16,3
7532,好尬,401988305210.86066,32,3
7544,好尴尬,228166053206.19202,18,2
7560,好帅,65413270516.59634,6,3
7621,好油,326063741609.91876,25,3
7627,好活,378531962467.71686,29,4
7633,好活当赏,234892084065.8879,18,4
7730,如听仙乐耳暂明,91267344141.2223,7,0
7753,如约而至的出现了,104327435235.94882,8,3
7782,妈妈生的,494516262584.72705,38,5
7803,妖魔鬼怪,221893401912.25354,17,5
7867,嫉妒,74341653482.9186,7,4
7873,嬉 皮 笑 脸,65867336379.54172,6,3
7874,嬉皮笑脸,258362710074.84286,20,4
7882,字正腔圆,117507137489.53183,9,3
7991,完了,348346471871.2176,29,3
8009,完整版,91611500217.02502,7,4
8078,害怕,209923160291.8689,18,2
8095,家人们谁懂,117215548949.73813,9,3
8099,家电下乡,821199165932.7069,63,4
8113,家电下乡泰裤辣,130347699427.94408,10,4
8163,对对对,209211250651.16763,16,3
8187,导师,77816673709.73248,6,5
8202,导蛋鬼,117078220898.44948,9,3
8213,封神辣,78343117577.11967,6,4
8250,小丑,169492632827.89383,13,3
8334,小鬼,169271291150.0857,13,3
8436,小黑子,91317604895.34244,7,3
8485,尬住了,76704987092.02269,6,2
8510,尬死了,178700062886.54233,15,1
8589,就没了,84766349279.4955,7,2
8599,就这,275089051753.95844,23,3
8610,尴尬,99196586578.14279,8,1
8748,已经开始笑了,114299608701.03815,9,4
8819,常熟阿诺,142969260350.99915,11,2
8929,废话文学,296345970210.3877,23,0
8965,开吐啦,91112246323.01501,7,3
8980,开头见,154279143310.46588,12,3
8987,开始吟唱,835490788380.7592,64,4
9030,开幕雷击,246332024336.22324,19,0
9066,弟中之弟,61760129402.81406,6,2
9070,弟弟,62454322445.98215,15,3
9081,张全蛋,247122256730.90817,19,1
9145,当众奖励,261472154167.6462,20,3
9223,律师函警告,104273007891.36775,8,5
9257,心脏骤停,91305326825.01796,7,4
9295,快去请如来佛祖,78432943459.57626,6,4
9339,忽略,97401775877.34502,8,5
9465,急了,196195197025.1593,15,2
9470,急了急了,91481624596.7639,7,1
9509,恶心,143475373532.7673,11,0
9692,憋不住了,104435670819.67998,8,0
9711,成分复杂,182745410333.17746,14,3
9733,我40帧,78389936334.71565,6,3
9756,我一样,78323098314.79259,6,3
9760,我不信,156433061758.75046,12,2
9778,我不知道,104306551489.5563,8,2
9779,我不管,208917167040.03516,16,3
9788,我不行了,78193547731.2896,6,1
9880,我去,91058090380.3484,7,3
10019,我就知道,104513136144.43779,8,3
10184,我测深圳,248019908486.6628,19,2
10201,我爱罗,583039326766.6041,47,3
10263,我爱罗罪不至此,115534034539.109,9,1
10300,我生日,156734583644.1199,12,3
10426,我给你大拇哥,196257764017.2801,15,3
10481,我要笑死了,76931686689.01881,6,2
10498,我觉得你说的对,156916317358.94418,12,2
10686,手语大师,132250828739.21233,11,5
10690,手语老师,95739392302.23349,8,5
10787,把你们一起击杀,71524612817.44363,6,2
10840,抬裤拉,351710711227.9901,27,2
10867,抽象,244123694803.40765,19,4
10943,拉裤啦,143474883635.96112,11,3
11118,捣蛋鬼,677797406328.1235,52,5
11120,捣蛋鬼别捣蛋,221334715997.0016,17,5
11234,撒库拉,234763197409.75696,18,2
11272,支持家电下乡,156378531828.27942,12,4
11329,救命,1055108874298.8029,85,4
11404,数字肠品,195348421686.0889,15,2
11454,文盲,104493286826.32587,8,3
11463,文艺复兴,143699320401.5908,11,3
11474,断章取义,50315004009.718025,6,4
11475,断章取义弟弟,82893341008.8194,7,4
11483,断章取义的弟弟,257144121845.19873,20,4
11531,施法前摇,91309824540.70062,7,1
11555,无敌,91364374131.45947,7,5
11723,是的,78012014678.35925,6,3
11769,暗藏玄只因,78289009269.25775,6,4
11773,暗黑董明珠,130073974052.6663,10,1
11851,月牙天冲,234007847478.229,18,1
11868,有个蛋,78413270240.06665,6,3
11945,有点东西,138598547809.3629,11,2
12050,未明子,78109154845.2305,6,2
12082,杀八个嫂嫂,235342785525.91473,18,4
12112,来了,91321346480.76547,7,3
12209,查克拉,169379696507.8963,13,1
12217,查成分,299767624546.69586,23,2
12224,查成分是吧,221124681270.98193,17,2
12263,根据答案出题,91508178482.48323,7,5
12272,根本难不倒他,326300787786.47644,25,1
12280,格力,104128992404.95564,8,2
12302,格力家电下乡,156315734322.50586,12,4
12330,格力电器家电下乡,78144200174.21864,6,5
12334,格力空调,104287002374.06406,8,1
12362,格尸,130522834176.14906,10,2
12385,梅开二度,78405907469.31781,6,2
12397,梦幻联动,508385617332.255,39,5
12482,正在引导,90767609400.21378,7,5
12483,正在拉,78146615417.78236,6,3
12510,正片开始,574774370366.9724,44,3
12517,正能量,78206735970.52638,6,4
12583,每周必看,117676653920.39127,9,5
12587,每天一遍,195299089158.7147,15,4
12597,每日一遍,221372902846.24457,17,5
12632,比博燃,91492704349.56802,7,3
12702,毫无违和感,339713197302.11786,26,3
12754,永远滴神,104270397868.59225,8,5
12909,沙雕之国,104521979951.95692,8,5
12924,没了,155752084039.3525,13,2
12969,没文化,78280971565.45294,6,2
13024,没有篮球,72436217933.199,6,3
13060,没绷住,235090737471.15823,18,2
13090,油之国,117589138480.02884,9,2
13099,油光满面,548387173431.349,42,3
13154,油疙瘩,117674948055.18124,9,0
13195,法老,78049918893.85188,6,3
13214,泪目,614103399145.6746,47,4
13235,泰 裤 辣,91373192674.23172,7,4
13244,泰cool辣,78334337064.26201,6,3
13286,泰库啦,91180380076.01842,7,3
13287,泰库拉,390464015125.869,30,2
13288,泰库辣,521475864522.7194,40,3
13333,泰苦辣,208808444423.04736,16,3
13339,泰裤了,130549657374.42345,10,3
13348,泰裤啦,1799942817760.9812,138,3
13358,泰裤拉,677430938443.5077,52,2
13366,泰裤辣,31163920990303.35,2388,3
13430,泰褲辣,78303165256.56462,6,1
13439,泰酷啦,299857351379.8985,23,2
13444,泰酷拉,221515216213.30667,17,1
13447,泰酷辣,6256527715107.961,479,3
13480,活字乱刷术,196150534922.39862,15,3
13483,活字印刷术,130564126347.07959,10,2
13503,海尔,78298453806.62975,6,1
13523,深圳,117438666796.50772,9,2
13578,渣男四大才子,104455860542.03976,8,2
13596,溜大了,103527471532.70453,8,3
13627,满面油光,104455085601.5113,8,2
13637,漏电了,90952815581.40572,7,1
13691,火钳刘明,835583478986.7631,64,4
13775,燃起来了,104160145374.10002,8,3
13777,爆杀,130720326933.62834,10,3
13837,牛逼,170150561666.4631,14,4
13847,牛鬼蛇神,195682945178.0064,15,4
13929,猪刚鬣,78227362999.33296,6,2
13983,王子异,90005748031.92076,7,4
14044,玩儿,130731183286.88354,10,1
14057,玩尬的,84918446040.82364,7,3
14059,玩尬的是吧,170665085092.03006,14,3
14141,瑕疵打动人,104676768274.3979,8,5
14223,电击小子,90371556936.02974,8,4
14259,男的女的,104156803204.70276,8,3
14309,病句,102742904910.48622,8,2
14365,百家争鸣,91499420897.86708,7,5
14368,百鬼夜行,417785759268.4841,32,3
14491,省流泰裤辣,130646132336.86014,10,3
14769,真的吗我不信,130235066821.94963,10,2
