,content,count,emo
0,雪豹闭嘴,36,2
1,泰裤辣,31,3
2,地狱绘图,22,2
3,芝士雪豹,19,2
4,逆天,11,1
5,群魔乱舞,9,5
6,魑魅魍魉,8,5
7,捣蛋鬼,8,5
8,好活,7,4
9,渣男四大才子,7,2
10,奖励哥,6,4
11,高手在民间,5,5
12,眼前一黑,5,5
13,泰酷辣,5,3
14,四大菜籽,5,3
15,笑死了,4,2
16,四大菜子,4,3
17,当众奖励,4,3
18,笑死我了,4,2
19,火钳刘明,3,4
20,傲慢的演奏家,3,0
21,笑死,3,2
22,江南四大疯子,3,5
23,芝士水豹,3,2
24,太酷啦,3,3
25,一上来就没绷住,3,2
26,好活当赏,3,4
27,突发恶疾,3,5
28,两眼一黑,3,2
29,开幕雷击,3,0
30,现出原形,3,2
31,原形毕露,2,3
32,塘泊虎,2,3
33,小黑子,2,3
34,泰裤啦,2,3
35,各显神通,2,3
36,人才,2,3
37,变身,2,3
38,江南四大傻子,2,3
39,华晨宇罪不至此,2,1
40,水豹闭嘴,2,2
41,珍德食泥鸭,2,1
42,尸体派对,2,2
43,要素过多,2,0
44,类人群星闪耀时,2,5
45,蚌埠住了,2,3
46,事雪罢悲,2,5
47,人间地狱,2,2
48,众神归位,2,2
49,狮豹者,2,3
50,不然呢,2,3
51,一超多强,2,2
52,一进来就没绷住,2,1
53,尾兽化了是吧,2,2
54,群魔乱舞了属于是,2,5
55,落汤鸡,2,5
56,武魂真身,2,2
57,这位更是重量级,2,3
58,百鬼夜行,2,3
59,妖魔鬼怪,2,5
60,笑疯了,2,3
61,江南四大菜籽,2,4
62,奖励哥笑死我了,2,4
63,四大天王怎么六个头,2,3
64,丁真在水下捞锐克5,2,5
65,巨人,1,4
66,紫砂了,1,3
67,开头就没绷住,1,3
68,地狱构图,1,5
69,这河里吗步禾黎,1,1
70,阿坤都得让位置,1,3
71,一言不合就奖励自己,1,1
72,太裤拉有点辣眼睛,1,3
73,怕的嘞,1,2
74,爬爬爬爬爬,1,0
75,坤坤比他们强多了,1,3
76,正在引导,1,5
77,想抽根电子烟,1,3
78,哇好吵,1,2
79,开坛做法,1,2
80,群魔乱舞开始,1,5
81,什么魔鬼构图,1,5
82,雪豹沃夨丽马,1,5
83,才郎胡报,1,2
84,好活儿当赏,1,3
85,真的笑死,1,2
86,奖励小子,1,5
87,太tm形象了,1,2
88,孤独摇滚,1,5
89,僵死答残子,1,1
90,卧槽,1,3
91,没鸽鸽差评,1,0
92,四神归位,1,2
93,坤坤の嘲笑,1,4
94,有胸的坤坤,1,4
95,阿凯你又在大飞机哦,1,2
96,四张五费三星,1,2
97,和他们比坤坤是正常人,1,3
98,第四个是谁,1,2
99,有实力可算了吧,1,5
100,没有张翰不是很认可,1,4
101,一开场就蚌埠住了,1,2
102,初唐四杰,1,5
103,泰库辣,1,3
104,雪豹是吧,1,3
105,我一个火星人都笑了,1,3
106,芝士雪豹真是泰酷辣,1,2
107,力了,1,4
108,类人群猩闪耀,1,5
109,四个特级咒数师,1,0
110,四蛆兄弟,1,1
111,小时候看这集看哭了,1,5
112,省流没一个是正常的,1,2
113,绷不住了谢谢,1,2
114,鬼门大开,1,2
115,这个奖励的没绷住,1,2
116,有鸡,1,4
117,这是可以看的吗,1,3
118,青城四兽,1,1
119,四厨狂喜,1,4
120,自我奖励中,1,5
121,奖励中,1,4
122,贞德识泥鸭,1,1
123,这是在手铳,1,3
124,害怕,1,2
125,必将被坤流终结,1,5
126,雪豹坚强,1,5
127,不得不投币,1,3
128,笑鼠我了,1,3
129,坤流才是最吊的,1,1
130,流量来了,1,1
131,开口就没绷住,1,1
132,这个奖励哥我没绷住,1,3
133,泰  裤  辣,1,4
134,贞德食泥鸭,1,1
135,造孽,1,3
136,哇贞德士泥鸭,1,3
137,姜云升拉点,1,3
138,坤哥感谢同行衬托,1,4
139,金钱豹,1,3
140,血包闭嘴,1,4
141,华语哥谭四大才子,1,4
142,魔鬼绘图给爷笑傻了,1,3
143,肆坨,1,1
144,真的泰裤辣,1,3
145,这是地狱牛马,1,3
146,四大彪子,1,2
147,噔 噔 咚,1,2
148,太黑了,1,2
149,笑飞了,1,4
150,说奖励的是真的牛,1,3
151,雪豹别叫,1,3
152,可是学豹,1,3
153,还是吃得太饱 ,1,3
154,奇形怪状,1,0
155,超级变换形态,1,5
156,么有我鸡哥,1,3
157,一进来没绷住,1,1
158,天师归位,1,2
159,为啥没有困困,1,0
160,IKUN,1,3
161,骆驼祥子,1,5
162,看似群星闪耀,1,5
163,当众打脚,1,2
164,第二个和第四个是谁,1,1
165,开屏暴击,1,3
166,芝士雪豹即答,1,2
167,芝士雪鸭,1,3
168,p的,1,3
169,不如只因哥,1,2
170,太超前了,1,3
171,救命,1,4
172,倒影真的细节,1,5
173,一来就是坤坤,1,2
174,小鬼是c位泰酷辣,1,2
175,熊猫的笋被他给夺了,1,4
176,柴杍,1,4
177,打飞坤,1,3
178,真神才是第一个登场的,1,2
179,善鹅到头终有豹,1,4
180,中邪了,1,5
181,byd现场奖励是吧,1,1
182,这真的是泰裤辣,1,3
183,前方各显神通,1,4
184,amagi,1,3
185,牛批牛批牛批,1,3
186,菜籽,1,3
187,这个鲲鲲太好笑了,1,3
188,中国四大天王,1,4
189,胎枯啦,1,4
190,我还是忍俊不禁的笑了,1,5
191,只是雪豹,1,2
192,撸呢这是,1,3
193,太酷啦在干嘛,1,1
194,这个视频实在是太裤辣,1,2
195,四大癫王,1,5
196,大隐隐于市,1,0
197,退退退,1,0
198,你干嘛,1,1
199,再看億遍,1,2
200,小手不干净,1,3
201,雪shui豹,1,4
202,魑 魅 魍 魉,1,5
203,可是雪豹,1,3
204,雪豹为什么在游泳,1,3
205,雪豹闭嘴怒,1,1
206,离谱逆天,1,0
207,四答辩,1,3
208,有蚂蚁,1,1
209,他在打手机吗,1,0
210,地 狱 绘 卷,1,4
211,你厉害给你大拇哥儿,1,0
212,右二你在干嘛,1,0
213,发癫现场是吧,1,2
214,左数第二个是谁,1,2
215,他们的出现让我觉得 ,1,3
216,现在还有个人,1,3
217,四才子四坨史,1,2
218,四大菜,1,2
219,江南四大残子,1,4
220,没有坤坤差评,1,0
221,坤坤要翻身了,1,1
222,坤坤翻身把歌唱,1,3
223,华晨宇的罪配得上,1,3
224,江南四大鬼子,1,4
225,不行了笑s我了,1,1
226,直接笑还是走流程,1,4
227,byd,1,3
228,泰裤辣宝贝,1,4
229,吓跑了,1,3
230,再看一遍,1,4
231,傅少宠妻上瘾,1,5
232,四大鬼王,1,5
233,WTF王琳凯在干嘛,1,3
234,吐了吐了吐了吐了,1,0
235,真正的才子要吐血了,1,0
236,怎么混进来个骆驼精,1,3
237,坤哥哭死 没有流量了,1,1
238,坤坤被黑的最惨的一次,1,3
239,四大才子四大天王,1,2
240,开幕豹鸡,1,3
241,只因痛哭,1,1
242,新f4,1,3
243,好恶心,1,1
244,整货了,1,1
245,雪豹乱入,1,2
246,坤坤站错地了,1,3
247,才艺展示,1,4
248,坤坤来新手村炸鱼,1,0
249,水豹确信,1,3
250,byd一上来就没绷住,1,2
251,省流有只因,1,3
252,梅狸猫,1,3
253,现场奖励自己,1,1
254,施法开始 物理驱魔,1,5
255,四大ikun,1,3
256,奖励自己那个,1,3
257,妈妈生的,1,5
258,四 大 天 亡,1,4
259,歌界法师登场,1,2
260,华晨宇,1,2
261,左侧法师正在施法,1,1
262,吐了,1,1
263,哇是F4,1,3
264,鬼子进村,1,0
265,普通话,1,3
266,给你破万的弹幕,1,3
267,四点,1,2
268,坤出赞有,1,5
269,辣眼睛,1,3
270,第一眼就绷不住了,1,2
271,调戏良家坤,1,4
272,鬼子 在冲,1,3
273,我坤神都不在列,1,2
274,开头就蚌埠住了,1,4
275,换了衣服的坤屑,1,0
276,顶针,1,3
277,电鸡哥电,1,1
278,地狱变,1,2
279,江南四大ikun,1,4
