,Dimension_1,Dimension_2,content,count,emo
0,-4.513618,-7.587791,たいくら,36,3
1,0.34783095,-4.440787,不然呢,21,3
2,-7.561776,-9.118764,两眼一黑,52,2
3,-8.288372,-9.122132,亡灵凯,59,2
4,-3.6541827,-6.9209414,什么玩意,33,0
5,-3.304102,-6.6778417,什么鬼,32,3
6,-0.8900105,-4.620424,他在说什么,24,2
7,0.2874145,-4.16005,傲慢的演奏家,21,0
8,-9.824801,-6.2031183,全体起立,219,1
9,0.13695635,-4.774081,卧槽,22,3
10,-3.6319098,-6.9316425,双厨狂喜,33,4
11,0.08254211,-4.7827787,听懂掌声,22,2
12,-5.652274,-8.088227,唯一真神,40,2
13,-2.363738,-5.9565625,地狱绘图,29,2
14,0.0598086,-4.797127,多弗朗明哥,22,3
15,-1.9147154,-5.86079,大拇哥,28,3
16,-0.37269804,-4.04733,太尬了,22,3
17,-5.8452234,-8.215212,太酷了,41,3
18,-9.959064,-6.4838066,太酷啦,182,3
19,-1.532582,-5.5695357,太酷辣,27,3
20,-8.009763,-9.142223,奖励哥,56,4
21,-3.9775124,-7.184371,奖励小子,34,5
22,-6.8675184,-9.079067,好尬,47,3
23,-2.6640596,-6.213297,好尴尬,30,2
24,-3.1729584,-6.5899534,好帅,32,3
25,-3.63793,-6.9319563,好油,33,3
26,-7.14911,-9.063905,妈妈生的,49,5
27,-9.475423,-8.432869,家电下乡,82,4
28,-0.9048167,-4.626224,对对对,24,3
29,-0.59118706,-5.0600705,小丑,24,3
30,-8.765731,-8.911001,开始吟唱,66,4
31,-0.39655992,-4.063502,急了,22,2
32,-1.8965696,-5.843146,恶心,28,0
33,-5.7962894,-8.805609,我爱罗,42,3
34,-0.6978991,-4.323482,我给你大拇哥,23,3
35,-1.67421,-5.3752737,抬裤拉,27,2
36,-8.584433,-9.021916,捣蛋鬼,63,5
37,-9.319996,-8.570624,救命,77,4
38,-0.6606262,-4.320552,查成分,23,2
39,-2.9905143,-6.423666,根本难不倒他,31,1
40,-6.615394,-8.591806,梦幻联动,45,5
41,-2.0447028,-5.564072,歌手,28,4
42,-5.9893227,-8.942961,正片开始,43,3
43,-1.3515377,-5.2305117,毫无违和感,26,3
44,-5.236092,-8.31938,油光满面,39,3
45,-6.44994,-8.530413,泪目,44,4
46,-5.0265484,-7.9426613,泰库拉,38,2
47,-6.0324216,-8.345725,泰库辣,42,3
48,-10.016253,-6.711703,泰裤啦,156,3
49,-8.095025,-9.140437,泰裤拉,57,2
50,-8.989659,-5.198712,泰裤辣,2652,3
51,-2.375,-5.928859,泰酷啦,29,2
52,-9.2383175,-5.4460864,泰酷辣,528,3
53,-0.37019977,-4.042991,演讲,22,4
54,-5.122152,-7.8864655,火钳刘明,38,4
55,0.099229924,-3.9945252,烂梗,21,0
56,-0.92154443,-5.155898,真神降临,25,5
57,-5.0140476,-8.02532,眼前一黑,38,5
58,-5.4420934,-8.508647,破防了,40,1
59,-0.28490427,-4.9391823,离谱,23,2
60,-9.483573,-8.411158,笑死,82,2
61,-9.421821,-8.466298,笑死了,80,2
62,-10.018094,-6.754474,笑死我了,151,2
63,-2.6908007,-6.231271,给你大拇哥,30,3
64,-6.2430387,-8.438087,绝望的文盲,43,3
65,-9.730943,-7.985782,绷不住了,99,2
66,0.35441792,-4.455445,胡彦斌你让我哭,21,1
67,-0.2882825,-4.941205,芝士雪豹,23,2
68,-10.011983,-7.013839,董明珠,132,2
69,-6.223101,-9.042059,薄纱,44,3
70,-9.640375,-8.206709,蚌埠住了,91,3
71,-9.615777,-5.888463,要来力,294,3
72,0.06937522,-3.979525,要来力喜,21,3
73,-4.185972,-7.3427806,辣眼睛,35,3
74,-6.448274,-9.091077,这位更是重量级,45,3
75,-4.7696204,-7.78579,这是谁,37,3
76,-6.4409957,-9.090956,这谁,45,3
77,-10.0222645,-6.928904,逆天,137,1
78,-6.766412,-8.801126,那可太好了,46,2
79,-1.3682815,-5.148051,酷门,26,3
80,-8.514098,-9.030106,难绷,62,3
81,-5.4302664,-8.5112705,雪豹闭嘴,40,2
82,-2.053844,-5.565764,高下立判,28,2
