content,count,emo,label
我测深圳,30,2,0
给我点鸡叫声,13,1,0
什么都修复只会害了你,12,1,0
我死在深圳,10,1,0
我是丁真,9,2,0
什么都修只会害了你,9,0,0
我40帧,7,3,0
泰裤辣,6,3,0
给我点滋尿声,5,2,0
我是深圳,5,2,0
抬裤拉,4,2,0
油光满面,4,3,0
董明珠,13,2,1
病句,10,2,1
泰裤辣,10,3,1
如约而至地出现了,10,3,1
油光满面,9,3,1
油,6,2,1
泰裤啦,6,3,1
如约而至的出现了,5,3,1
我还是在这里,4,3,1
杰夫哈迪,4,2,1
好油,4,3,1
住医院,16,2,2
家电下乡,11,4,2
泰裤辣,7,3,2
yue,4,3,2
做阴乐,4,3,2
那可太好了,27,2,3
泰裤辣,12,3,3
哈哈哈哈哈哈哈,9,5,3
真的吗,8,3,3
真的吗我不信,8,2,3
我不信,7,2,3
那可泰好了,6,3,3
油,6,2,3
油光满面,6,3,3
好尴尬,6,2,3
假的,5,3,3
尬死了,4,1,3
要来力,68,3,4
开始吟唱,19,4,4
泰裤辣,8,3,4
要来力喜,8,3,4
全文背诵,5,5,4
我不管,4,3,4
泰裤辣,188,3,5
要来力,62,3,5
泰酷辣,20,3,5
泰裤啦,17,3,5
太酷啦,7,3,5
全体起立,4,1,5
泰 裤 辣,4,4,5
太酷了,4,3,5
