,content,count,emo
0,猴,204,3
1,知名酒鬼,138,3
2,紧张是你的武器,114,4
3,货色,57,4
4,知名穿搭博主,40,3
5,知名大脑,37,4
6,不知情人士,33,1
7,翠花,31,5
8,我这种货色,25,4
9,草,22,4
10,啊,22,3
11,哈哈哈哈哈哈哈,20,5
12,恭喜恭喜,19,5
13,穿搭博主,18,3
14,哈哈哈哈哈哈,17,5
15,最强大枣,17,5
16,哈哈哈哈哈哈哈哈哈哈,16,5
17,知名大枣,15,2
18,知 名 酒 鬼,14,2
19,哈哈哈哈哈,11,5
20,贵阳黑帮,11,1
21,我直了,11,3
22,酒鬼,11,2
23,新婚快乐,10,5
24,长大,10,4
25,哈哈哈哈,9,5
26,我长大了,9,4
27,哈哈哈哈哈哈哈哈哈,9,5
28,宇宙探索编辑部,8,5
29,这种货色,8,4
30,哈哈哈哈哈哈哈哈,7,5
31,p,7,3
32,萨克斯说得好,7,2
33,直了,6,3
34,知名劳模,6,2
35,这是可以播的吗,6,3
36,这是能播的吗,6,3
37,随份子,6,2
38,金广发是吧,6,4
39,恭喜,6,4
40,中国boy超级大偷子,5,4
41,猫左老师,5,5
42,金广发,5,4
43,知名酒鬼哈哈哈哈,5,5
44,越哥,5,3
45,知名乐器,5,2
46,拿来吧你,5,3
47,REC,5,3
48,这个巧妙,5,5
49,长大了,5,4
50,他说他是岛民,4,4
51,老婆,4,4
52,潮男,4,3
53,周越,4,3
54, 猴 ,4,3
55,好悲伤啊,4,5
56,加油,4,5
57,未婚妻,4,3
58,紧张紧张紧张,4,5
59,翠花姐姐,4,5
60,小潮呢,4,3
61,不知情人士未婚妻,4,1
62,第一次求婚,4,4
63,祝他成功吧,4,5
64,我祝他成功吧,4,5
65,王瀚哲耍大牌,4,5
66,翠花好漂亮,4,5
67,说的好,4,3
68,祝福,4,5
69,你小子,4,5
70,哈哈哈,4,5
71,  猴  ,4,3
72,两个币随份子,4,2
